Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Dist,BldgCode,Address,Zip,City,Type,Address,Lat,Lon
P.S. 019 Asher Levy,Dist: 1<br>BldgCode: M019<br>Address: 185 1 AVENUE<br>Zip: 10003<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M019,185 1 AVENUE,10003,Manhattan,Feeding Site,"185 1 AVENUE Manhattan, NY 10003",40.7298349,-73.9842426
The STAR Academy - P.S.63,Dist: 1<br>BldgCode: M063<br>Address: 121 EAST  3 STREET<br>Zip: 10009<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M063,121 EAST  3 STREET,10009,Manhattan,Feeding Site,"121 EAST  3 STREET Manhattan, NY 10009",40.7244069,-73.9862627
P.S. 064 Robert Simon,Dist: 1<br>BldgCode: M064<br>Address: 600 EAST  6 STREET<br>Zip: 10009<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M064,600 EAST  6 STREET,10009,Manhattan,Feeding Site,"600 EAST  6 STREET Manhattan, NY 10009",40.7238456,-73.9817633
P.S. 142 Amalia Castro,Dist: 1<br>BldgCode: M142<br>Address: 100 ATTORNEY STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M142,100 ATTORNEY STREET,10002,Manhattan,Feeding Site,"100 ATTORNEY STREET Manhattan, NY 10002",40.7182566,-73.984013
P.S. 184m Shuang Wen,Dist: 1<br>BldgCode: M137<br>Address: 327 CHERRY STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M137,327 CHERRY STREET,10002,Manhattan,Feeding Site,"327 CHERRY STREET Manhattan, NY 10002",40.7113459,-73.9856822
New Design High School,Dist: 1<br>BldgCode: M445<br>Address: 350 GRAND STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,1,M445,350 GRAND STREET,10002,Manhattan,Feeding Site,"350 GRAND STREET Manhattan, NY 10002",40.7173452,-73.9892929
P.S. 001 Alfred E. Smith,Dist: 2<br>BldgCode: M001<br>Address: 8 HENRY STREET<br>Zip: 10038<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M001,8 HENRY STREET,10038,Manhattan,Feeding Site,"8 HENRY STREET Manhattan, NY 10038",40.7125894,-73.9976565
P.S. 002 Meyer London,Dist: 2<br>BldgCode: M002<br>Address: 122 HENRY STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M002,122 HENRY STREET,10002,Manhattan,Feeding Site,"122 HENRY STREET Manhattan, NY 10002",40.713057,-73.9916866
P.S. 041 Greenwich Village,Dist: 2<br>BldgCode: M041<br>Address: 116 WEST  11 STREET<br>Zip: 10011<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M041,116 WEST  11 STREET,10011,Manhattan,Feeding Site,"116 WEST  11 STREET Manhattan, NY 10011",40.7355874,-73.9992096
P.S. 042 Benjamin Altman,Dist: 2<br>BldgCode: M042<br>Address: 71 HESTER STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M042,71 HESTER STREET,10002,Manhattan,Feeding Site,"71 HESTER STREET Manhattan, NY 10002",40.7161122,-73.9909457
47 The American Sign Language and English Secondary School,Dist: 2<br>BldgCode: M047<br>Address: 223 EAST 23 STREET<br>Zip: 10010<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M047,223 EAST 23 STREET,10010,Manhattan,Feeding Site,"223 EAST 23 STREET Manhattan, NY 10010",40.7387769,-73.9814014
J.H.S. 104 Simon Baruch,Dist: 2<br>BldgCode: M104<br>Address: 330 EAST  21 STREET<br>Zip: 10010<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M104,330 EAST  21 STREET,10010,Manhattan,Feeding Site,"330 EAST  21 STREET Manhattan, NY 10010",40.7358068,-73.9805744
P.S. 111 Adolph S. Ochs,Dist: 2<br>BldgCode: M111<br>Address: 440 WEST  53 STREET<br>Zip: 10019<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M111,440 WEST  53 STREET,10019,Manhattan,Feeding Site,"440 WEST  53 STREET Manhattan, NY 10019",40.7660107,-73.9897148
P.S. 126 Jacob August Riis,Dist: 2<br>BldgCode: M126<br>Address: 80 CATHERINE STREET<br>Zip: 10038<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M126,80 CATHERINE STREET,10038,Manhattan,Feeding Site,"80 CATHERINE STREET Manhattan, NY 10038",40.7105672,-73.9970098
P.S. 130 Hernando De Soto,Dist: 2<br>BldgCode: M130<br>Address: 143 BAXTER STREET<br>Zip: 10013<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M130,143 BAXTER STREET,10013,Manhattan,Feeding Site,"143 BAXTER STREET Manhattan, NY 10013",40.7188532,-73.9982914
Stephen T. Mather Building Arts Craf,Dist: 2<br>BldgCode: M625<br>Address: 439 WEST 49TH STREET<br>Zip: 10019<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M625,439 WEST 49TH STREET,10019,Manhattan,Feeding Site,"439 WEST 49TH STREET Manhattan, NY 10019",40.7639993,-73.9908346
P.S./I.S. 217 Roosevelt Island,Dist: 2<br>BldgCode: M271<br>Address: 645 MAIN STREET<br>Zip: 10044<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M271,645 MAIN STREET,10044,Manhattan,Feeding Site,"645 MAIN STREET Manhattan, NY 10044",40.764146,-73.9483885
M.S. 260 Clinton School Writers & Ar,Dist: 2<br>BldgCode: M868<br>Address: 10 East 15th Street<br>Zip: 10003<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M868,10 East 15th Street,10003,Manhattan,Feeding Site,"10 East 15th Street Manhattan, NY 10003",40.7361099,-73.9922772
BATTERY PARK CITY SCHOOL,Dist: 2<br>BldgCode: M276<br>Address: 55 BATTERY PLACE<br>Zip: 10280<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M276,55 BATTERY PLACE,10280,Manhattan,Feeding Site,"55 BATTERY PLACE Manhattan, NY 10280",40.7065629,-74.0175278
Life Sciences Secondary School,Dist: 2<br>BldgCode: M645<br>Address: 320 EAST  96 STREET<br>Zip: 10128<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M645,320 EAST  96 STREET,10128,Manhattan,Feeding Site,"320 EAST  96 STREET Manhattan, NY 10128",40.7832167,-73.9460393
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,Dist: 2<br>BldgCode: M620<br>Address: 111 EAST  33RD STREET<br>Zip: 10016<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M620,111 EAST  33RD STREET,10016,Manhattan,Feeding Site,"111 EAST  33RD STREET Manhattan, NY 10016",40.746441,-73.9812112
Urban Academy Laboratory High School,Dist: 2<br>BldgCode: M480<br>Address: 317 EAST  67 STREET<br>Zip: 10065<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M480,317 EAST  67 STREET,10065,Manhattan,Feeding Site,"317 EAST  67 STREET Manhattan, NY 10065",40.7653683,-73.9596962
Stuyvesant High School,Dist: 2<br>BldgCode: M477<br>Address: 345 CHAMBERS STREET<br>Zip: 10282<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M477,345 CHAMBERS STREET,10282,Manhattan,Feeding Site,"345 CHAMBERS STREET Manhattan, NY 10282",40.7181492,-74.0137623
High School for Environmental Studie,Dist: 2<br>BldgCode: M834<br>Address: 444 WEST 56 STREET<br>Zip: 10019<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M834,444 WEST 56 STREET,10019,Manhattan,Feeding Site,"444 WEST 56 STREET Manhattan, NY 10019",40.7677451,-73.9880992
School of the Future High School,Dist: 2<br>BldgCode: M660<br>Address: 127 EAST  22 STREET<br>Zip: 10010<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M660,127 EAST  22 STREET,10010,Manhattan,Feeding Site,"127 EAST  22 STREET Manhattan, NY 10010",40.7391109,-73.9853486
M.S. 131,Dist: 2<br>BldgCode: M131<br>Address: 100 HESTER STREET<br>Zip: 10002<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,2,M131,100 HESTER STREET,10002,Manhattan,Feeding Site,"100 HESTER STREET Manhattan, NY 10002",40.7161943,-73.9933849
P.S. 009 Sarah Anderson,Dist: 3<br>BldgCode: M009<br>Address: 100 WEST  84 STREET<br>Zip: 10024<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M009,100 WEST  84 STREET,10024,Manhattan,Feeding Site,"100 WEST  84 STREET Manhattan, NY 10024",40.7850907,-73.973866
J.H.S. 054 Booker T. Washington,Dist: 3<br>BldgCode: M054<br>Address: 103 WEST 107 STREET<br>Zip: 10025<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M054,103 WEST 107 STREET,10025,Manhattan,Feeding Site,"103 WEST 107 STREET Manhattan, NY 10025",40.8004677,-73.9626623
P.S. 076 A. Philip Randolph,Dist: 3<br>BldgCode: M076<br>Address: 220 WEST 121 STREET<br>Zip: 10027<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M076,220 WEST 121 STREET,10027,Manhattan,Feeding Site,"220 WEST 121 STREET Manhattan, NY 10027",40.8065013,-73.9511366
Wadleigh Secondary School for the Pe,Dist: 3<br>BldgCode: M088<br>Address: 215 WEST 114 STREET<br>Zip: 10026<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M088,215 WEST 114 STREET,10026,Manhattan,Feeding Site,"215 WEST 114 STREET Manhattan, NY 10026",40.8025744,-73.9541403
P.S. 163 Alfred E. Smith,Dist: 3<br>BldgCode: M163<br>Address: 163 WEST  97 STREET<br>Zip: 10025<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M163,163 WEST  97 STREET,10025,Manhattan,Feeding Site,"163 WEST  97 STREET Manhattan, NY 10025",40.7948887,-73.9684479
Locke School of Arts and Engineering,Dist: 3<br>BldgCode: M185<br>Address: 20 WEST 112 STREET<br>Zip: 10026<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M185,20 WEST 112 STREET,10026,Manhattan,Feeding Site,"20 WEST 112 STREET Manhattan, NY 10026",40.7984949,-73.9498493
P.S. 149 Sojourner Truth,Dist: 3<br>BldgCode: M207<br>Address: 41 WEST 117 STREET<br>Zip: 10026<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M207,41 WEST 117 STREET,10026,Manhattan,Feeding Site,"41 WEST 117 STREET Manhattan, NY 10026",40.8026661,-73.9482563
"High School for Law, Advocacy and Co",Dist: 3<br>BldgCode: M490<br>Address: 122 AMSTERDAM AVENUE<br>Zip: 10023<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,3,M490,122 AMSTERDAM AVENUE,10023,Manhattan,Feeding Site,"122 AMSTERDAM AVENUE Manhattan, NY 10023",40.7748463,-73.9856659
River East Elementary,Dist: 4<br>BldgCode: M045<br>Address: 2351 FIRST AVENUE<br>Zip: 10035<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M045,2351 FIRST AVENUE,10035,Manhattan,Feeding Site,"2351 FIRST AVENUE Manhattan, NY 10035",40.7992798,-73.9339161
James Weldon Johnson,Dist: 4<br>BldgCode: M057<br>Address: 176 EAST 115 STREET<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M057,176 EAST 115 STREET,10029,Manhattan,Feeding Site,"176 EAST 115 STREET Manhattan, NY 10029",40.7972688,-73.9412633
The Lexington Academy,Dist: 4<br>BldgCode: M072<br>Address: 131 EAST 104 STREET<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M072,131 EAST 104 STREET,10029,Manhattan,Feeding Site,"131 EAST 104 STREET Manhattan, NY 10029",40.7914348,-73.9474169
P.S. 083 Luis Munoz Rivera,Dist: 4<br>BldgCode: M083<br>Address: 219 EAST 109 STREET<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M083,219 EAST 109 STREET,10029,Manhattan,Feeding Site,"219 EAST 109 STREET Manhattan, NY 10029",40.7931298,-73.9418125
P.S. 096 Joseph Lanzetta,Dist: 4<br>BldgCode: M096<br>Address: 216 EAST 120 STREET<br>Zip: 10035<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M096,216 EAST 120 STREET,10035,Manhattan,Feeding Site,"216 EAST 120 STREET Manhattan, NY 10035",40.8000808,-73.9373659
P.S. 108 Assemblyman Angelo Del Toro,Dist: 4<br>BldgCode: M108<br>Address: 1615 MADISON AVENUE<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M108,1615 MADISON AVENUE,10029,Manhattan,Feeding Site,"1615 MADISON AVENUE Manhattan, NY 10029",40.7951252,-73.9478762
P.S. 112 Jose Celso Barbosa,Dist: 4<br>BldgCode: M112<br>Address: 535 EAST 119 STREET<br>Zip: 10035<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M112,535 EAST 119 STREET,10035,Manhattan,Feeding Site,"535 EAST 119 STREET Manhattan, NY 10035",40.7964942,-73.9300386
P.S. 38 Roberto Clemente,Dist: 4<br>BldgCode: M121<br>Address: 232 EAST 103 STREET<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M121,232 EAST 103 STREET,10029,Manhattan,Feeding Site,"232 EAST 103 STREET Manhattan, NY 10029",40.7886777,-73.9448453
Tag Young Scholars,Dist: 4<br>BldgCode: M117<br>Address: 240 EAST 109 STREET<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M117,240 EAST 109 STREET,10029,Manhattan,Feeding Site,"240 EAST 109 STREET Manhattan, NY 10029",40.792727,-73.9421359
Central Park East I,Dist: 4<br>BldgCode: M013<br>Address: 1573 MADISON AVENUE<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M013,1573 MADISON AVENUE,10029,Manhattan,Feeding Site,"1573 MADISON AVENUE Manhattan, NY 10029",40.7936872,-73.9486109
Central Park East High School,Dist: 4<br>BldgCode: M013<br>Address: 1573 MADISON AVENUE<br>Zip: 10029<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,4,M013,1573 MADISON AVENUE,10029,Manhattan,Feeding Site,"1573 MADISON AVENUE Manhattan, NY 10029",40.7936872,-73.9486109
Frederick Douglass Academy,Dist: 5<br>BldgCode: M010<br>Address: 2581 7TH AVENUE<br>Zip: 10039<br>City: Manhattan<br>Type: Feeding Site,,,,,,,-1,,,5,M010,2581 7TH AVENUE,10039,Manhattan,Feeding Site,"2581 7TH AVENUE Manhattan, NY 10039",40.8243981,-73.936545
