Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,Geographic__District,Building_Code,Address,Zip_Code,Borough,Type,Full Address,Lat,Lon
P.S. 188 - MANHATTAN,Geographic  District: 1<br>Building Code: M188<br>Address: 442 EAST HOUSTON STREET<br>Zip Code: 10002<br>Borough: Manhattan<br>Type: Community School & DYCD,,,,,,,-1,,,1,M188,442 EAST HOUSTON STREET,10002,Manhattan,Community School & DYCD,"442 EAST HOUSTON STREET Manhattan, NY 10002",40.7198989,-73.9773555
J.H.S. 56 - MANHATTAN,Geographic  District: 1<br>Building Code: M056<br>Address: 220 HENRY STREET<br>Zip Code: 10002<br>Borough: Manhattan<br>Type: Community School & DYCD,,,,,,,-1,,,1,M056,220 HENRY STREET,10002,Manhattan,Community School & DYCD,"220 HENRY STREET Manhattan, NY 10002",40.7134455,-73.9860332
P.S./I.S. 89 - MANHATTAN,Geographic  District: 2<br>Building Code: M089<br>Address: 201 WARREN STREET<br>Zip Code: 10282<br>Borough: Manhattan<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,2,M089,201 WARREN STREET,10282,Manhattan,Community School or DYCD with a pre-K or LYFE Center,"201 WARREN STREET Manhattan, NY 10282",40.7169119,-74.013597
P.S. 158 - MANHATTAN,Geographic  District: 2<br>Building Code: M158<br>Address: 1458 YORK AVENUE<br>Zip Code: 10075<br>Borough: Manhattan<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,2,M158,1458 YORK AVENUE,10075,Manhattan,Community School or DYCD with a pre-K or LYFE Center,"1458 YORK AVENUE Manhattan, NY 10075",40.770261,-73.9509131
District 2 Pre-K Center at 355 East 76 Street,Geographic  District: 2<br>Building Code: M471<br>Address: 355 East 76 Street<br>Zip Code: 10021<br>Borough: Manhattan<br>Type: Standalone Pre-K Site,,,,,,,-1,,,2,M471,355 East 76 Street,10021,Manhattan,Standalone Pre-K Site,"355 East 76 Street Manhattan, NY 10021",40.7709569,-73.9547643
I.S. 118 - MANHATTAN,Geographic  District: 3<br>Building Code: M118<br>Address: 154 WEST  93 STREET<br>Zip Code: 10025<br>Borough: Manhattan<br>Type: Community School & DYCD,,,,,,,-1,,,3,M118,154 WEST  93 STREET,10025,Manhattan,Community School & DYCD,"154 WEST  93 STREET Manhattan, NY 10025",40.7912562,-73.9711111
P.S. 180 - MANHATTAN,Geographic  District: 3<br>Building Code: M180<br>Address: 370 WEST 120TH STREET<br>Zip Code: 10027<br>Borough: Manhattan<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,3,M180,370 WEST 120TH STREET,10027,Manhattan,Community School or DYCD with a pre-K or LYFE Center,"370 WEST 120TH STREET Manhattan, NY 10027",40.8076092,-73.9558388
P.S./I.S. 342 (RIVERSIDE CENTER) - MANHATATN,Geographic  District: 3<br>Building Code: M342<br>Address: 300 WEST 61ST STREET<br>Zip Code: 10023<br>Borough: Manhattan<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,3,M342,300 WEST 61ST STREET,10023,Manhattan,Community School or DYCD with a pre-K or LYFE Center,"300 WEST 61ST STREET Manhattan, NY 10023",40.7729791,-73.9900749
P.S. 50 (UDC) - MANHATTAN,Geographic  District: 4<br>Building Code: M050<br>Address: 433 EAST 100 STREET<br>Zip Code: 10029<br>Borough: Manhattan<br>Type: Community School & DYCD,,,,,,,-1,,,4,M050,433 EAST 100 STREET,10029,Manhattan,Community School & DYCD,"433 EAST 100 STREET Manhattan, NY 10029",40.7850415,-73.9410603
P.S. 7 - MANHATTAN,Geographic  District: 4<br>Building Code: M007<br>Address: 160 EAST 120 STREET<br>Zip Code: 10035<br>Borough: Manhattan<br>Type: Community School or DYCD with a pre-K or LYFE Center,,,,,,,-1,,,4,M007,160 EAST 120 STREET,10035,Manhattan,Community School or DYCD with a pre-K or LYFE Center,"160 EAST 120 STREET Manhattan, NY 10035",40.8007729,-73.9393346
